model,suite,item,correct
gpt-2_bllip-lg-gptbpe_1581955288,mvrr_mod,0,True
gpt-2_bllip-lg-gptbpe_1581955288,mvrr_mod,1,True
gpt-2_bllip-lg-gptbpe_1581955288,mvrr_mod,2,True
gpt-2_bllip-lg-gptbpe_1581955288,mvrr_mod,3,True
gpt-2_bllip-lg-gptbpe_1581955288,mvrr_mod,4,False
gpt-2_bllip-lg-gptbpe_1581955288,mvrr_mod,5,True
gpt-2_bllip-lg-gptbpe_1581955288,mvrr_mod,6,True
gpt-2_bllip-lg-gptbpe_1581955288,mvrr_mod,7,True
gpt-2_bllip-lg-gptbpe_1581955288,mvrr_mod,8,True
gpt-2_bllip-lg-gptbpe_1581955288,mvrr_mod,9,True
gpt-2_bllip-lg-gptbpe_1581955288,mvrr_mod,10,True
gpt-2_bllip-lg-gptbpe_1581955288,mvrr_mod,11,True
gpt-2_bllip-lg-gptbpe_1581955288,mvrr_mod,12,True
gpt-2_bllip-lg-gptbpe_1581955288,mvrr_mod,13,False
gpt-2_bllip-lg-gptbpe_1581955288,mvrr_mod,14,True
gpt-2_bllip-lg-gptbpe_1581955288,mvrr_mod,15,False
gpt-2_bllip-lg-gptbpe_1581955288,mvrr_mod,16,True
gpt-2_bllip-lg-gptbpe_1581955288,mvrr_mod,17,False
gpt-2_bllip-lg-gptbpe_1581955288,mvrr_mod,18,True
gpt-2_bllip-lg-gptbpe_1581955288,mvrr_mod,19,False
gpt-2_bllip-lg-gptbpe_1581955288,mvrr_mod,20,True
gpt-2_bllip-lg-gptbpe_1581955288,mvrr_mod,21,True
gpt-2_bllip-lg-gptbpe_1581955288,mvrr_mod,22,True
gpt-2_bllip-lg-gptbpe_1581955288,mvrr_mod,23,True
gpt-2_bllip-lg-gptbpe_1581955288,mvrr_mod,24,False
gpt-2_bllip-lg-gptbpe_1581955288,mvrr_mod,25,True
gpt-2_bllip-lg-gptbpe_1581955288,mvrr_mod,26,True
gpt-2_bllip-lg-gptbpe_1581955288,mvrr_mod,27,False
gpt-2_bllip-lg-gptbpe_1581955288,nn-nv-rpl,0,True
gpt-2_bllip-lg-gptbpe_1581955288,center_embed_mod,0,True
gpt-2_bllip-lg-gptbpe_1581955288,center_embed_mod,1,True
gpt-2_bllip-lg-gptbpe_1581955288,center_embed_mod,2,True
gpt-2_bllip-lg-gptbpe_1581955288,center_embed_mod,3,True
gpt-2_bllip-lg-gptbpe_1581955288,center_embed_mod,4,True
gpt-2_bllip-lg-gptbpe_1581955288,center_embed_mod,5,True
gpt-2_bllip-lg-gptbpe_1581955288,center_embed_mod,6,True
gpt-2_bllip-lg-gptbpe_1581955288,center_embed_mod,7,True
gpt-2_bllip-lg-gptbpe_1581955288,center_embed_mod,8,True
gpt-2_bllip-lg-gptbpe_1581955288,center_embed_mod,9,True
gpt-2_bllip-lg-gptbpe_1581955288,center_embed_mod,10,True
gpt-2_bllip-lg-gptbpe_1581955288,center_embed_mod,11,True
gpt-2_bllip-lg-gptbpe_1581955288,center_embed_mod,12,True
gpt-2_bllip-lg-gptbpe_1581955288,center_embed_mod,13,True
gpt-2_bllip-lg-gptbpe_1581955288,center_embed_mod,14,True
gpt-2_bllip-lg-gptbpe_1581955288,center_embed_mod,15,True
gpt-2_bllip-lg-gptbpe_1581955288,center_embed_mod,16,False
gpt-2_bllip-lg-gptbpe_1581955288,center_embed_mod,17,True
gpt-2_bllip-lg-gptbpe_1581955288,center_embed_mod,18,True
gpt-2_bllip-lg-gptbpe_1581955288,center_embed_mod,19,True
gpt-2_bllip-lg-gptbpe_1581955288,center_embed_mod,20,True
gpt-2_bllip-lg-gptbpe_1581955288,center_embed_mod,21,True
gpt-2_bllip-lg-gptbpe_1581955288,center_embed_mod,22,True
gpt-2_bllip-lg-gptbpe_1581955288,center_embed_mod,23,True
