model,suite,item,correct
rnng_bllip-xs_28068,fgd_object,0,True
rnng_bllip-xs_28068,fgd_object,1,True
rnng_bllip-xs_28068,fgd_object,2,True
rnng_bllip-xs_28068,fgd_object,3,True
rnng_bllip-xs_28068,fgd_object,4,True
rnng_bllip-xs_28068,fgd_object,5,True
rnng_bllip-xs_28068,fgd_object,6,True
rnng_bllip-xs_28068,fgd_object,7,True
rnng_bllip-xs_28068,fgd_object,8,True
rnng_bllip-xs_28068,fgd_object,9,True
rnng_bllip-xs_28068,fgd_object,10,True
rnng_bllip-xs_28068,fgd_object,11,True
rnng_bllip-xs_28068,fgd_object,12,True
rnng_bllip-xs_28068,fgd_object,13,True
rnng_bllip-xs_28068,fgd_object,14,True
rnng_bllip-xs_28068,fgd_object,15,True
rnng_bllip-xs_28068,fgd_object,16,True
rnng_bllip-xs_28068,fgd_object,17,True
rnng_bllip-xs_28068,fgd_object,18,True
rnng_bllip-xs_28068,fgd_object,19,True
rnng_bllip-xs_28068,fgd_object,20,True
rnng_bllip-xs_28068,fgd_object,21,True
rnng_bllip-xs_28068,fgd_object,22,False
rnng_bllip-xs_28068,fgd_object,23,True
rnng_bllip-xs_51272,fgd-embed4,0,True
rnng_bllip-xs_51272,fgd-embed4,1,True
rnng_bllip-xs_51272,fgd-embed4,2,False
rnng_bllip-xs_51272,fgd-embed4,3,True
rnng_bllip-xs_51272,fgd-embed4,4,True
rnng_bllip-xs_51272,fgd-embed4,5,True
rnng_bllip-xs_51272,fgd-embed4,6,False
rnng_bllip-xs_51272,fgd-embed4,7,False
rnng_bllip-xs_51272,fgd-embed4,8,True
rnng_bllip-xs_51272,fgd-embed4,9,False
rnng_bllip-xs_51272,fgd-embed4,10,False
rnng_bllip-xs_51272,fgd-embed4,11,True
rnng_bllip-xs_51272,fgd-embed4,12,False
rnng_bllip-xs_51272,fgd-embed4,13,True
rnng_bllip-xs_51272,fgd-embed4,14,True
rnng_bllip-xs_51272,fgd-embed4,15,True
rnng_bllip-xs_51272,fgd-embed4,16,False
rnng_bllip-xs_51272,fgd-embed4,17,True
rnng_bllip-xs_51272,fgd-embed4,18,False
rnng_bllip-xs_51272,fgd-embed4,19,False
rnng_bllip-xs_51272,fgd-embed4,20,True
rnng_bllip-xs_28068,subordination,0,True
rnng_bllip-xs_28068,subordination,1,True
rnng_bllip-xs_28068,subordination,2,True
rnng_bllip-xs_28068,subordination,3,True
rnng_bllip-xs_28068,subordination,4,True
rnng_bllip-xs_28068,subordination,5,True
rnng_bllip-xs_28068,subordination,6,True
rnng_bllip-xs_28068,subordination,7,True
rnng_bllip-xs_28068,subordination,8,True
rnng_bllip-xs_28068,subordination,9,True
rnng_bllip-xs_28068,subordination,10,True
rnng_bllip-xs_28068,subordination,11,True
rnng_bllip-xs_28068,subordination,12,True
rnng_bllip-xs_28068,subordination,13,True
rnng_bllip-xs_28068,subordination,14,True
rnng_bllip-xs_28068,subordination,15,True
rnng_bllip-xs_28068,subordination,16,True
rnng_bllip-xs_28068,subordination,17,True
rnng_bllip-xs_28068,subordination,18,True
rnng_bllip-xs_28068,subordination,19,True
rnng_bllip-xs_28068,subordination,20,True
rnng_bllip-xs_28068,subordination,21,True
rnng_bllip-xs_28068,subordination,22,True
rnng_bllip-xs_28068,number_prep,0,False
rnng_bllip-xs_28068,number_prep,1,False
rnng_bllip-xs_28068,number_prep,2,False
rnng_bllip-xs_28068,number_prep,3,False
rnng_bllip-xs_28068,number_prep,4,False
rnng_bllip-xs_28068,number_prep,5,False
rnng_bllip-xs_28068,number_prep,6,False
rnng_bllip-xs_28068,number_prep,7,False
rnng_bllip-xs_28068,number_prep,8,False
rnng_bllip-xs_28068,number_prep,9,True
rnng_bllip-xs_28068,number_prep,10,False
rnng_bllip-xs_28068,number_prep,11,False
rnng_bllip-xs_28068,number_prep,12,True
rnng_bllip-xs_28068,number_prep,13,False
rnng_bllip-xs_28068,number_prep,14,False
rnng_bllip-xs_28068,number_prep,15,False
rnng_bllip-xs_28068,number_prep,16,False
rnng_bllip-xs_28068,number_prep,17,False
rnng_bllip-xs_28068,number_prep,18,False
rnng_bllip-xs_28068,reflexive_prep_fem,0,False
rnng_bllip-xs_28068,reflexive_prep_fem,1,False
rnng_bllip-xs_28068,reflexive_prep_fem,2,False
rnng_bllip-xs_28068,reflexive_prep_fem,3,False
rnng_bllip-xs_28068,reflexive_prep_fem,4,False
rnng_bllip-xs_28068,reflexive_prep_fem,5,False
rnng_bllip-xs_28068,reflexive_prep_fem,6,False
rnng_bllip-xs_28068,reflexive_prep_fem,7,False
rnng_bllip-xs_28068,reflexive_prep_fem,8,False
rnng_bllip-xs_28068,reflexive_prep_fem,9,False
rnng_bllip-xs_28068,reflexive_prep_fem,10,False
rnng_bllip-xs_28068,reflexive_prep_fem,11,False
rnng_bllip-xs_28068,reflexive_prep_fem,12,False
rnng_bllip-xs_28068,reflexive_prep_fem,13,False
rnng_bllip-xs_28068,reflexive_prep_fem,14,False
rnng_bllip-xs_28068,reflexive_prep_fem,15,False
rnng_bllip-xs_28068,reflexive_prep_fem,16,False
rnng_bllip-xs_28068,reflexive_prep_fem,17,False
rnng_bllip-xs_28068,reflexive_prep_fem,18,False
rnng_bllip-xs_28068,npi_orc_any,0,False
rnng_bllip-xs_28068,npi_orc_any,1,False
rnng_bllip-xs_28068,npi_orc_any,2,False
rnng_bllip-xs_28068,npi_orc_any,3,False
rnng_bllip-xs_28068,npi_orc_any,4,False
rnng_bllip-xs_28068,npi_orc_any,5,False
rnng_bllip-xs_28068,npi_orc_any,6,False
rnng_bllip-xs_28068,npi_orc_any,7,False
rnng_bllip-xs_28068,npi_orc_any,8,False
rnng_bllip-xs_28068,npi_orc_any,9,False
rnng_bllip-xs_28068,npi_orc_any,10,False
rnng_bllip-xs_28068,npi_orc_any,11,False
rnng_bllip-xs_28068,npi_orc_any,12,False
rnng_bllip-xs_28068,npi_orc_any,13,False
rnng_bllip-xs_28068,npi_orc_any,14,False
rnng_bllip-xs_28068,npi_orc_any,15,False
rnng_bllip-xs_28068,npi_orc_any,16,False
rnng_bllip-xs_28068,npi_orc_any,17,False
rnng_bllip-xs_28068,npi_orc_any,18,False
rnng_bllip-xs_28068,npi_orc_any,19,False
rnng_bllip-xs_28068,npi_orc_any,20,False
rnng_bllip-xs_28068,npi_orc_any,21,False
rnng_bllip-xs_28068,npi_orc_any,22,False
rnng_bllip-xs_28068,npi_orc_any,23,False
rnng_bllip-xs_28068,npi_orc_any,24,False
rnng_bllip-xs_28068,npi_orc_any,25,False
rnng_bllip-xs_28068,npi_orc_any,26,True
rnng_bllip-xs_28068,npi_orc_any,27,False
rnng_bllip-xs_28068,npi_orc_any,28,False
rnng_bllip-xs_28068,npi_orc_any,29,False
rnng_bllip-xs_28068,npi_orc_any,30,False
rnng_bllip-xs_28068,npi_orc_any,31,False
rnng_bllip-xs_28068,npi_orc_any,32,True
rnng_bllip-xs_28068,npi_orc_any,33,False
rnng_bllip-xs_28068,npi_orc_any,34,False
rnng_bllip-xs_28068,npi_orc_any,35,False
rnng_bllip-xs_28068,npi_orc_any,36,False
rnng_bllip-xs_28068,npi_orc_any,37,False
rnng_bllip-xs_28066,number_prep,0,False
