model,suite,item,correct
rnng_bllip-lg_38435,fgd-embed4,0,False
rnng_bllip-lg_38435,fgd-embed4,1,True
rnng_bllip-lg_38435,fgd-embed4,2,True
rnng_bllip-lg_38435,fgd-embed4,3,False
rnng_bllip-lg_38435,fgd-embed4,4,True
rnng_bllip-lg_38435,fgd-embed4,5,True
rnng_bllip-lg_38435,fgd-embed4,6,True
rnng_bllip-lg_38435,fgd-embed4,7,True
rnng_bllip-lg_38435,fgd-embed4,8,False
rnng_bllip-lg_38435,fgd-embed4,9,True
rnng_bllip-lg_38435,fgd-embed4,10,False
rnng_bllip-lg_38435,fgd-embed4,11,False
rnng_bllip-lg_38435,fgd-embed4,12,True
rnng_bllip-lg_38435,fgd-embed4,13,True
rnng_bllip-lg_38435,fgd-embed4,14,True
rnng_bllip-lg_38435,fgd-embed4,15,True
rnng_bllip-lg_38435,fgd-embed4,16,False
rnng_bllip-lg_38435,fgd-embed4,17,True
rnng_bllip-lg_38435,fgd-embed4,18,True
rnng_bllip-lg_38435,fgd-embed4,19,True
rnng_bllip-lg_38435,fgd-embed4,20,True
rnng_bllip-lg_62488,subordination,0,True
rnng_bllip-lg_62488,subordination,1,True
rnng_bllip-lg_62488,subordination,2,True
rnng_bllip-lg_62488,subordination,3,True
rnng_bllip-lg_62488,subordination,4,True
rnng_bllip-lg_62488,subordination,5,True
rnng_bllip-lg_62488,subordination,6,True
rnng_bllip-lg_62488,subordination,7,True
rnng_bllip-lg_62488,subordination,8,True
rnng_bllip-lg_62488,subordination,9,True
rnng_bllip-lg_62488,subordination,10,True
rnng_bllip-lg_62488,subordination,11,True
rnng_bllip-lg_62488,subordination,12,True
rnng_bllip-lg_62488,subordination,13,True
rnng_bllip-lg_62488,subordination,14,True
rnng_bllip-lg_62488,subordination,15,True
rnng_bllip-lg_62488,subordination,16,True
rnng_bllip-lg_62488,subordination,17,True
rnng_bllip-lg_62488,subordination,18,True
rnng_bllip-lg_62488,subordination,19,True
rnng_bllip-lg_62488,subordination,20,True
rnng_bllip-lg_62488,subordination,21,True
rnng_bllip-lg_62488,subordination,22,True
rnng_bllip-lg_62488,npi_src_ever,0,False
rnng_bllip-lg_62488,npi_src_ever,1,False
rnng_bllip-lg_62488,npi_src_ever,2,False
rnng_bllip-lg_62488,npi_src_ever,3,False
rnng_bllip-lg_62488,npi_src_ever,4,False
rnng_bllip-lg_62488,npi_src_ever,5,False
rnng_bllip-lg_62488,npi_src_ever,6,False
rnng_bllip-lg_62488,npi_src_ever,7,False
rnng_bllip-lg_62488,npi_src_ever,8,False
rnng_bllip-lg_62488,npi_src_ever,9,False
rnng_bllip-lg_62488,npi_src_ever,10,False
rnng_bllip-lg_62488,npi_src_ever,11,False
rnng_bllip-lg_62488,npi_src_ever,12,False
rnng_bllip-lg_62488,npi_src_ever,13,False
rnng_bllip-lg_62488,npi_src_ever,14,False
rnng_bllip-lg_62488,npi_src_ever,15,False
rnng_bllip-lg_62488,npi_src_ever,16,False
rnng_bllip-lg_62488,npi_src_ever,17,False
rnng_bllip-lg_62488,npi_src_ever,18,False
rnng_bllip-lg_62488,npi_src_ever,19,False
rnng_bllip-lg_62488,npi_src_ever,20,False
rnng_bllip-lg_62488,npi_src_ever,21,False
rnng_bllip-lg_62488,npi_src_ever,22,False
rnng_bllip-lg_62488,npi_src_ever,23,False
rnng_bllip-lg_62488,npi_src_ever,24,False
rnng_bllip-lg_62488,npi_src_ever,25,False
rnng_bllip-lg_62488,npi_src_ever,26,False
rnng_bllip-lg_62488,npi_src_ever,27,False
rnng_bllip-lg_62488,npi_src_ever,28,False
rnng_bllip-lg_62488,npi_src_ever,29,False
rnng_bllip-lg_62488,npi_src_ever,30,False
rnng_bllip-lg_62488,npi_src_ever,31,False
rnng_bllip-lg_62488,npi_src_ever,32,False
rnng_bllip-lg_62488,npi_src_ever,33,False
rnng_bllip-lg_62488,npi_src_ever,34,False
rnng_bllip-lg_62488,npi_src_ever,35,False
rnng_bllip-lg_62488,npi_src_ever,36,False
rnng_bllip-lg_62488,npi_src_ever,37,False
rnng_bllip-lg_7245,mvrr_mod,0,True
rnng_bllip-lg_7245,mvrr_mod,1,True
rnng_bllip-lg_7245,mvrr_mod,2,True
rnng_bllip-lg_7245,mvrr_mod,3,True
rnng_bllip-lg_7245,mvrr_mod,4,False
rnng_bllip-lg_7245,mvrr_mod,5,False
rnng_bllip-lg_7245,mvrr_mod,6,True
rnng_bllip-lg_7245,mvrr_mod,7,True
rnng_bllip-lg_7245,mvrr_mod,8,True
rnng_bllip-lg_7245,mvrr_mod,9,True
rnng_bllip-lg_7245,mvrr_mod,10,True
rnng_bllip-lg_7245,mvrr_mod,11,True
rnng_bllip-lg_7245,mvrr_mod,12,True
rnng_bllip-lg_7245,mvrr_mod,13,False
rnng_bllip-lg_7245,mvrr_mod,14,True
rnng_bllip-lg_7245,mvrr_mod,15,False
rnng_bllip-lg_7245,mvrr_mod,16,False
rnng_bllip-lg_7245,mvrr_mod,17,False
rnng_bllip-lg_7245,mvrr_mod,18,False
rnng_bllip-lg_7245,mvrr_mod,19,True
rnng_bllip-lg_7245,mvrr_mod,20,True
