model,suite,item,correct
ngram_bllip-md_12,fgd-embed3,0,False
ngram_bllip-md_12,fgd-embed3,1,False
ngram_bllip-md_12,fgd-embed3,2,False
ngram_bllip-md_12,fgd-embed3,3,False
ngram_bllip-md_12,fgd-embed3,4,False
ngram_bllip-md_12,fgd-embed3,5,False
ngram_bllip-md_12,fgd-embed3,6,False
ngram_bllip-md_12,fgd-embed3,7,False
ngram_bllip-md_12,fgd-embed3,8,False
ngram_bllip-md_12,fgd-embed3,9,False
ngram_bllip-md_12,fgd-embed3,10,False
ngram_bllip-md_12,fgd-embed3,11,False
ngram_bllip-md_12,fgd-embed3,12,False
ngram_bllip-md_12,fgd-embed3,13,False
ngram_bllip-md_12,fgd-embed3,14,False
ngram_bllip-md_12,fgd-embed3,15,False
ngram_bllip-md_12,fgd-embed3,16,False
ngram_bllip-md_12,fgd-embed3,17,False
ngram_bllip-md_12,fgd-embed3,18,False
ngram_bllip-md_12,fgd-embed3,19,False
ngram_bllip-md_12,fgd-embed3,20,False
ngram_bllip-md_12,fgd_subject,0,False
ngram_bllip-md_12,fgd_subject,1,False
ngram_bllip-md_12,fgd_subject,2,True
ngram_bllip-md_12,fgd_subject,3,True
ngram_bllip-md_12,fgd_subject,4,True
ngram_bllip-md_12,fgd_subject,5,False
ngram_bllip-md_12,fgd_subject,6,True
ngram_bllip-md_12,fgd_subject,7,True
ngram_bllip-md_12,fgd_subject,8,False
ngram_bllip-md_12,fgd_subject,9,False
ngram_bllip-md_12,fgd_subject,10,True
ngram_bllip-md_12,fgd_subject,11,True
ngram_bllip-md_12,fgd_subject,12,True
ngram_bllip-md_12,fgd_subject,13,False
ngram_bllip-md_12,fgd_subject,14,True
ngram_bllip-md_12,fgd_subject,15,True
ngram_bllip-md_12,fgd_subject,16,True
ngram_bllip-md_12,fgd_subject,17,True
ngram_bllip-md_12,fgd_subject,18,False
ngram_bllip-md_12,fgd_subject,19,True
ngram_bllip-md_12,fgd_subject,20,False
ngram_bllip-md_12,fgd_subject,21,False
ngram_bllip-md_12,fgd_subject,22,True
ngram_bllip-md_12,fgd_subject,23,True
ngram_bllip-md_12,number_orc,0,False
ngram_bllip-md_12,number_orc,1,False
ngram_bllip-md_12,number_orc,2,False
ngram_bllip-md_12,number_orc,3,False
ngram_bllip-md_12,number_orc,4,False
ngram_bllip-md_12,number_orc,5,False
ngram_bllip-md_12,number_orc,6,False
ngram_bllip-md_12,number_orc,7,False
ngram_bllip-md_12,number_orc,8,False
ngram_bllip-md_12,number_orc,9,False
ngram_bllip-md_12,number_orc,10,False
ngram_bllip-md_12,number_orc,11,False
ngram_bllip-md_12,number_orc,12,False
ngram_bllip-md_12,number_orc,13,False
ngram_bllip-md_12,number_orc,14,False
ngram_bllip-md_12,number_orc,15,False
ngram_bllip-md_12,number_orc,16,False
ngram_bllip-md_12,number_orc,17,False
ngram_bllip-md_12,number_orc,18,False
ngram_bllip-md_12,cleft_modifier,0,True
ngram_bllip-md_12,cleft_modifier,1,True
ngram_bllip-md_12,cleft_modifier,2,True
ngram_bllip-md_12,cleft_modifier,3,True
ngram_bllip-md_12,cleft_modifier,4,True
ngram_bllip-md_12,cleft_modifier,5,True
ngram_bllip-md_12,cleft_modifier,6,True
ngram_bllip-md_12,cleft_modifier,7,True
ngram_bllip-md_12,cleft_modifier,8,True
ngram_bllip-md_12,cleft_modifier,9,True
ngram_bllip-md_12,cleft_modifier,10,True
ngram_bllip-md_12,cleft_modifier,11,True
ngram_bllip-md_12,cleft_modifier,12,True
ngram_bllip-md_12,cleft_modifier,13,True
ngram_bllip-md_12,cleft_modifier,14,True
ngram_bllip-md_12,cleft_modifier,15,True
ngram_bllip-md_12,cleft_modifier,16,True
ngram_bllip-md_12,cleft_modifier,17,True
ngram_bllip-md_12,cleft_modifier,18,True
ngram_bllip-md_12,cleft_modifier,19,True
ngram_bllip-md_12,cleft_modifier,20,True
ngram_bllip-md_12,cleft_modifier,21,True
ngram_bllip-md_12,cleft_modifier,22,True
ngram_bllip-md_12,cleft_modifier,23,True
ngram_bllip-md_12,cleft_modifier,24,True
ngram_bllip-md_12,cleft_modifier,25,True
ngram_bllip-md_12,cleft_modifier,26,True
ngram_bllip-md_12,cleft_modifier,27,True
ngram_bllip-md_12,cleft_modifier,28,True
ngram_bllip-md_12,cleft_modifier,29,True
ngram_bllip-md_12,cleft_modifier,30,True
ngram_bllip-md_12,cleft_modifier,31,True
ngram_bllip-md_12,cleft_modifier,32,True
ngram_bllip-md_12,cleft_modifier,33,True
ngram_bllip-md_12,cleft_modifier,34,True
ngram_bllip-md_12,cleft_modifier,35,True
ngram_bllip-md_12,cleft_modifier,36,True
ngram_bllip-md_12,cleft_modifier,37,True
ngram_bllip-md_12,cleft_modifier,38,True
ngram_bllip-md_12,cleft_modifier,39,True
ngram_bllip-md_12,nn-nv-rpl,0,True
ngram_bllip-md_12,reflexive_prep_masc,0,False
ngram_bllip-md_12,reflexive_prep_masc,1,False
ngram_bllip-md_12,reflexive_prep_masc,2,False
ngram_bllip-md_12,reflexive_prep_masc,3,False
ngram_bllip-md_12,reflexive_prep_masc,4,False
ngram_bllip-md_12,reflexive_prep_masc,5,False
ngram_bllip-md_12,reflexive_prep_masc,6,False
ngram_bllip-md_12,reflexive_prep_masc,7,False
