model,suite,item,correct
rnng_bllip-md_44862,reflexive_src_masc,0,False
rnng_bllip-md_44862,reflexive_src_masc,1,False
rnng_bllip-md_44862,reflexive_src_masc,2,True
rnng_bllip-md_44862,reflexive_src_masc,3,False
rnng_bllip-md_44862,reflexive_src_masc,4,True
rnng_bllip-md_44862,reflexive_src_masc,5,False
rnng_bllip-md_44862,reflexive_src_masc,6,False
rnng_bllip-md_44862,reflexive_src_masc,7,True
rnng_bllip-md_44862,reflexive_src_masc,8,False
rnng_bllip-md_44862,reflexive_src_masc,9,False
rnng_bllip-md_44862,reflexive_src_masc,10,False
rnng_bllip-md_44862,reflexive_src_masc,11,True
rnng_bllip-md_44862,reflexive_src_masc,12,False
rnng_bllip-md_44862,reflexive_src_masc,13,False
rnng_bllip-md_44862,reflexive_src_masc,14,True
rnng_bllip-md_44862,reflexive_src_masc,15,False
rnng_bllip-md_44862,reflexive_src_masc,16,True
rnng_bllip-md_44862,reflexive_src_masc,17,True
rnng_bllip-md_44862,reflexive_src_masc,18,False
rnng_bllip-md_3602,npi_src_ever,0,False
rnng_bllip-md_3602,npi_src_ever,1,True
rnng_bllip-md_3602,npi_src_ever,2,False
rnng_bllip-md_3602,npi_src_ever,3,True
rnng_bllip-md_3602,npi_src_ever,4,True
rnng_bllip-md_3602,npi_src_ever,5,False
rnng_bllip-md_3602,npi_src_ever,6,False
rnng_bllip-md_3602,npi_src_ever,7,True
rnng_bllip-md_3602,npi_src_ever,8,False
rnng_bllip-md_3602,npi_src_ever,9,False
rnng_bllip-md_3602,npi_src_ever,10,True
rnng_bllip-md_3602,npi_src_ever,11,False
rnng_bllip-md_3602,npi_src_ever,12,False
rnng_bllip-md_3602,npi_src_ever,13,False
rnng_bllip-md_3602,npi_src_ever,14,False
rnng_bllip-md_3602,npi_src_ever,15,False
rnng_bllip-md_3602,npi_src_ever,16,False
rnng_bllip-md_3602,npi_src_ever,17,False
rnng_bllip-md_3602,npi_src_ever,18,False
rnng_bllip-md_3602,npi_src_ever,19,False
rnng_bllip-md_3602,npi_src_ever,20,False
rnng_bllip-md_3602,npi_src_ever,21,False
rnng_bllip-md_3602,npi_src_ever,22,False
rnng_bllip-md_3602,npi_src_ever,23,False
rnng_bllip-md_3602,npi_src_ever,24,False
rnng_bllip-md_3602,npi_src_ever,25,False
rnng_bllip-md_3602,npi_src_ever,26,False
rnng_bllip-md_3602,npi_src_ever,27,False
rnng_bllip-md_3602,npi_src_ever,28,False
rnng_bllip-md_3602,npi_src_ever,29,False
rnng_bllip-md_3602,npi_src_ever,30,False
rnng_bllip-md_3602,npi_src_ever,31,False
rnng_bllip-md_3602,npi_src_ever,32,False
rnng_bllip-md_3602,npi_src_ever,33,False
rnng_bllip-md_3602,npi_src_ever,34,False
rnng_bllip-md_3602,npi_src_ever,35,False
rnng_bllip-md_3602,npi_src_ever,36,False
rnng_bllip-md_3602,npi_src_ever,37,False
rnng_bllip-md_3602,npi_src_any,0,False
rnng_bllip-md_3602,npi_src_any,1,False
rnng_bllip-md_3602,npi_src_any,2,False
rnng_bllip-md_3602,npi_src_any,3,False
rnng_bllip-md_3602,npi_src_any,4,True
rnng_bllip-md_3602,npi_src_any,5,False
rnng_bllip-md_3602,npi_src_any,6,False
rnng_bllip-md_3602,npi_src_any,7,False
rnng_bllip-md_3602,npi_src_any,8,False
rnng_bllip-md_3602,npi_src_any,9,False
rnng_bllip-md_3602,npi_src_any,10,False
rnng_bllip-md_3602,npi_src_any,11,False
rnng_bllip-md_3602,npi_src_any,12,False
rnng_bllip-md_3602,npi_src_any,13,False
rnng_bllip-md_3602,npi_src_any,14,False
rnng_bllip-md_3602,npi_src_any,15,False
rnng_bllip-md_3602,npi_src_any,16,False
rnng_bllip-md_3602,npi_src_any,17,False
rnng_bllip-md_3602,npi_src_any,18,False
rnng_bllip-md_3602,npi_src_any,19,False
rnng_bllip-md_3602,npi_src_any,20,False
rnng_bllip-md_3602,npi_src_any,21,False
rnng_bllip-md_3602,npi_src_any,22,False
rnng_bllip-md_3602,npi_src_any,23,False
rnng_bllip-md_3602,npi_src_any,24,False
rnng_bllip-md_3602,npi_src_any,25,False
rnng_bllip-md_3602,npi_src_any,26,False
rnng_bllip-md_3602,npi_src_any,27,False
rnng_bllip-md_3602,npi_src_any,28,False
rnng_bllip-md_3602,npi_src_any,29,False
rnng_bllip-md_3602,npi_src_any,30,False
rnng_bllip-md_3602,npi_src_any,31,False
rnng_bllip-md_3602,npi_src_any,32,False
rnng_bllip-md_3602,npi_src_any,33,False
rnng_bllip-md_3602,npi_src_any,34,False
rnng_bllip-md_3602,npi_src_any,35,False
rnng_bllip-md_3602,npi_src_any,36,False
rnng_bllip-md_3602,npi_src_any,37,False
rnng_bllip-md_3602,npz_ambig_mod,0,False
rnng_bllip-md_3602,npz_ambig_mod,1,True
rnng_bllip-md_3602,npz_ambig_mod,2,True
rnng_bllip-md_3602,npz_ambig_mod,3,True
rnng_bllip-md_3602,npz_ambig_mod,4,True
rnng_bllip-md_3602,npz_ambig_mod,5,False
rnng_bllip-md_3602,npz_ambig_mod,6,True
