model,suite,item,correct
ngram-no-rand_bllip-lg_0,fgd_subject,0,True
ngram-no-rand_bllip-lg_0,fgd_subject,1,False
ngram-no-rand_bllip-lg_0,fgd_subject,2,True
ngram-no-rand_bllip-lg_0,fgd_subject,3,True
ngram-no-rand_bllip-lg_0,fgd_subject,4,True
ngram-no-rand_bllip-lg_0,fgd_subject,5,True
ngram-no-rand_bllip-lg_0,fgd_subject,6,True
ngram-no-rand_bllip-lg_0,fgd_subject,7,True
ngram-no-rand_bllip-lg_0,fgd_subject,8,True
ngram-no-rand_bllip-lg_0,fgd_subject,9,True
ngram-no-rand_bllip-lg_0,fgd_subject,10,True
ngram-no-rand_bllip-lg_0,fgd_subject,11,False
ngram-no-rand_bllip-lg_0,fgd_subject,12,True
ngram-no-rand_bllip-lg_0,fgd_subject,13,False
ngram-no-rand_bllip-lg_0,fgd_subject,14,True
ngram-no-rand_bllip-lg_0,fgd_subject,15,True
ngram-no-rand_bllip-lg_0,fgd_subject,16,True
ngram-no-rand_bllip-lg_0,fgd_subject,17,True
ngram-no-rand_bllip-lg_0,fgd_subject,18,True
ngram-no-rand_bllip-lg_0,fgd_subject,19,True
ngram-no-rand_bllip-lg_0,fgd_subject,20,False
ngram-no-rand_bllip-lg_0,fgd_subject,21,True
ngram-no-rand_bllip-lg_0,fgd_subject,22,False
ngram-no-rand_bllip-lg_0,fgd_subject,23,True
ngram-no-rand_bllip-lg_0,npz_obj_mod,0,False
ngram-no-rand_bllip-lg_0,npz_obj_mod,1,False
ngram-no-rand_bllip-lg_0,npz_obj_mod,2,False
ngram-no-rand_bllip-lg_0,npz_obj_mod,3,False
ngram-no-rand_bllip-lg_0,npz_obj_mod,4,False
ngram-no-rand_bllip-lg_0,npz_obj_mod,5,False
ngram-no-rand_bllip-lg_0,npz_obj_mod,6,False
ngram-no-rand_bllip-lg_0,npz_obj_mod,7,False
ngram-no-rand_bllip-lg_0,npz_obj_mod,8,False
ngram-no-rand_bllip-lg_0,npz_obj_mod,9,False
ngram-no-rand_bllip-lg_0,npz_obj_mod,10,False
ngram-no-rand_bllip-lg_0,npz_obj_mod,11,False
ngram-no-rand_bllip-lg_0,npz_obj_mod,12,False
ngram-no-rand_bllip-lg_0,npz_obj_mod,13,False
ngram-no-rand_bllip-lg_0,npz_obj_mod,14,False
ngram-no-rand_bllip-lg_0,npz_obj_mod,15,False
ngram-no-rand_bllip-lg_0,npz_obj_mod,16,False
ngram-no-rand_bllip-lg_0,npz_obj_mod,17,False
ngram-no-rand_bllip-lg_0,npz_obj_mod,18,False
ngram-no-rand_bllip-lg_0,npz_obj_mod,19,False
ngram-no-rand_bllip-lg_0,npz_obj_mod,20,False
ngram-no-rand_bllip-lg_0,npz_obj_mod,21,False
ngram-no-rand_bllip-lg_0,npz_obj_mod,22,False
ngram-no-rand_bllip-lg_0,npz_obj_mod,23,False
ngram-no-rand_bllip-lg_0,npi_orc_any,0,False
ngram-no-rand_bllip-lg_0,npi_orc_any,1,False
ngram-no-rand_bllip-lg_0,npi_orc_any,2,False
ngram-no-rand_bllip-lg_0,npi_orc_any,3,False
ngram-no-rand_bllip-lg_0,npi_orc_any,4,False
ngram-no-rand_bllip-lg_0,npi_orc_any,5,False
ngram-no-rand_bllip-lg_0,npi_orc_any,6,False
ngram-no-rand_bllip-lg_0,npi_orc_any,7,False
ngram-no-rand_bllip-lg_0,npi_orc_any,8,False
ngram-no-rand_bllip-lg_0,npi_orc_any,9,False
ngram-no-rand_bllip-lg_0,npi_orc_any,10,False
ngram-no-rand_bllip-lg_0,npi_orc_any,11,False
ngram-no-rand_bllip-lg_0,npi_orc_any,12,False
ngram-no-rand_bllip-lg_0,npi_orc_any,13,False
ngram-no-rand_bllip-lg_0,npi_orc_any,14,False
ngram-no-rand_bllip-lg_0,npi_orc_any,15,False
ngram-no-rand_bllip-lg_0,npi_orc_any,16,False
ngram-no-rand_bllip-lg_0,npi_orc_any,17,False
ngram-no-rand_bllip-lg_0,npi_orc_any,18,False
ngram-no-rand_bllip-lg_0,npi_orc_any,19,False
